date,tmin_c,tmax_c,tmin_f,tmax_f,prcp_mm,prcp_in,snow_mm,snow_in,snwd_mm,snwd_in
2022-01-01,10.0,13.3,50.0,55.94,20.1,0.7913385826771655,0.0,0.0,0.0,0.0
2022-01-02,2.8,15.0,37.04,59.0,1.0,0.03937007874015748,0.0,0.0,0.0,0.0
2022-01-03,-5.5,2.8,22.1,37.04,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-7.1,1.1,19.22,33.98,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,-0.5,8.3,31.1,46.94,5.8,0.2283464566929134,0.0,0.0,0.0,0.0
2022-01-06,1.1,5.0,33.98,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,-3.8,1.1,25.16,33.98,9.7,0.38188976377952755,147.0,5.78740157480315,150.0,5.905511811023622
2022-01-08,-6.6,-1.0,20.12,30.2,0.0,0.0,0.0,0.0,80.0,3.1496062992125986
2022-01-09,-1.6,4.4,29.12,39.92,2.5,0.0984251968503937,0.0,0.0,80.0,3.1496062992125986
2022-01-10,-4.3,4.4,24.26,39.92,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,-9.3,-4.3,15.259999999999998,24.26,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,-6.6,4.4,20.12,39.92,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,1.1,8.9,33.98,48.02,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,-6.0,6.1,21.2,42.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,-12.1,-6.0,10.220000000000002,21.2,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,-12.1,2.8,10.220000000000002,37.04,9.4,0.3700787401574803,20.0,0.7874015748031497,0.0,0.0
2022-01-17,1.1,6.7,33.98,44.06,29.5,1.1614173228346458,0.0,0.0,0.0,0.0
2022-01-18,-1.6,2.2,29.12,35.96,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,-2.1,9.4,28.22,48.92,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,-5.5,7.8,22.1,46.04,7.6,0.2992125984251969,0.0,0.0,0.0,0.0
2022-01-21,-9.9,-5.5,14.18,22.1,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-22,-10.5,-1.6,13.100000000000001,29.12,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-23,-4.3,2.8,24.26,37.04,0.5,0.01968503937007874,5.0,0.1968503937007874,0.0,0.0
2022-01-24,-3.2,2.2,26.240000000000002,35.96,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,-2.1,5.6,28.22,42.08,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,-6.6,-2.1,20.12,28.22,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,-8.2,0.0,17.240000000000002,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28,-1.6,0.0,29.12,32.0,3.3,0.12992125984251968,30.0,1.1811023622047245,0.0,0.0
2022-01-29,-11.0,-1.6,12.2,29.12,19.6,0.7716535433070867,185.0,7.283464566929134,150.0,5.905511811023622
2022-01-30,-11.0,-3.2,12.2,26.240000000000002,0.0,0.0,0.0,0.0,180.0,7.086614173228347
2022-01-31,-6.0,-0.5,21.2,31.1,0.0,0.0,0.0,0.0,150.0,5.905511811023622
